Installation,Type,Source,Indicator,Value,Resolution
LALACKAMA 2,Raw,ERA5-Land,mbe,-3.538429702829448e-4,Hourly
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.08479968966742515,Hourly
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04531720300080345,Hourly
LAS TURCAS,Raw,ERA5-Land,mbe,-0.0377375367029381,Hourly
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10782177671788408,Hourly
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.021172075765082805,Hourly
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.012818386677009592,Hourly
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.1050079039456046,Hourly
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.026894443864706158,Hourly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.02336336150042102,Hourly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.03378647794223167,Hourly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.08090149924621183,Hourly
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.05332867657177298,Hourly
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.07319622207685789,Hourly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.17840904440943553,Hourly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.07477576734668989,Hourly
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.3461789336617991,Hourly
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.2121964350271247,Hourly
PV SALVADOR,Raw,ERA5-Land,mbe,-0.032235465187183746,Hourly
QUILAPILUN,Raw,ERA5-Land,mbe,0.02395559829308222,Hourly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.0593424150522916,Hourly
SANTA JULIA,Raw,ERA5-Land,mbe,-0.04570105684818632,Hourly
SDGX01,Raw,ERA5-Land,mbe,-0.013861100117954805,Hourly
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.024595842711730254,Hourly
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.06752760966071318,Hourly
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04344582868664903,Hourly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.12901600491761714,Hourly
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03688398589685343,Hourly
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.11802548259906667,Hourly
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05596254987778842,Hourly
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.06519427695251095,Hourly
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.16312443147331404,Hourly
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.11871416528630085,Hourly
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.02366647755117797,Hourly
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.062125427009821516,Hourly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.08542328409799127,Hourly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.05170415057562158,Hourly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.019956235553918983,Hourly
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.08738982017115463,Hourly
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.008426535922134276,Hourly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.1242575287913791,Hourly
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004087019410476045,Hourly
TAMBO REAL,Raw,ERA5-Land,mbe,0.0754456994796882,Hourly
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.049999919015943216,Hourly
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.17086388685823586,Hourly
