,pearson_h,mbe_h,rmse_h,pearson_d,mbe_d,rmse_d,pearson_m,mbe_m,rmse_m
SOLAR JAMA 1,0.7891492218212964,-0.16312443147331404,0.2696516198321891,0.5367544036427517,-0.1568300731261426,0.18053697892311074,0.10263855489286224,-0.15743333333333334,0.17418783603404178
SOLAR JAMA 2,0.7918135539368404,-0.11871416528630085,0.24097230265892686,0.5163213174848006,-0.11236349206349204,0.14352829750566246,0.13691471007276032,-0.1074027777777778,0.13603711401264318
SOLAR JAVIERA,0.7103007221052487,0.02366647755117797,0.2470044688800917,0.4143175044872061,0.029316142857142864,0.12426183076759445,0.30638231289681866,0.03467916666666667,0.09871379716128843
SOLAR LA SILLA,0.748599747223134,-0.062125427009821516,0.22479613356074304,0.5425678536506109,-0.048917301750772385,0.14125097577199122,0.26845258806624644,-0.03822727272727272,0.12739511074772156
SOLAR LAS TERRAZAS,0.7002346968259237,0.08542328409799127,0.2746083538489501,-0.17944962088447797,0.15351068493150682,0.32487202709815993,-0.6099196093994899,0.15300625,0.2922499868120898
SOLAR LLANO DE LLAMPOS,0.7695418860492326,-0.05170415057562158,0.2266946960516873,0.4981986524458804,-0.04300188470066519,0.12198091573135834,0.2754215615965728,-0.041470000000000014,0.10698751484791737
SOLAR PSF LOMAS COLORADAS,0.9378897400814772,0.019956235553918983,0.1155275085249886,0.8719344645630684,0.021627042079207917,0.06337984905385237,0.8841001014425527,0.022016666666666667,0.03449059721570934
SOLAR SAN ANDRES,0.6931971745592348,0.08738982017115463,0.2626718073850109,0.3695821111124836,0.09001874640598044,0.17344790200404045,0.25331869491043835,0.09257966101694914,0.161871085974538
SOLAR SANTA CECILIA,0.9106928940387456,0.008426535922134276,0.1323781810975676,0.7517673685340289,0.009593716337522444,0.0734839821821253,0.9043616661902502,0.008191228070175442,0.03043272419213217
SOLAR TECHOS ALTAMIRA,0.5699345247514546,0.1242575287913791,0.2990295009726836,0.1183336982968862,0.15678923705722073,0.2607622216237583,-0.4167835032752229,0.16609259259259254,0.2549833044643424
SPS LA HUAYCA,0.9686802926280526,0.004087019410476045,0.08422149182946907,0.8401608506416582,0.004836688014638609,0.04190511315688903,0.8970246645431108,0.004311111111111109,0.018883826118901038
TAMBO REAL,0.7389578479828995,0.0754456994796882,0.22494023689897494,0.15776589600131186,0.08616449480642115,0.1782376790582501,-0.2665184556059171,0.0797105263157895,0.1478915925869173
TILTIL SOLAR,0.791095426609702,-0.049999919015943216,0.21926261386424226,0.6940762807066401,-0.03681924778761062,0.13004285372641486,0.6612372115434246,-0.03724516129032256,0.10159864426324317
URIBE SOLAR,0.7910151944083167,-0.17086388685823586,0.2788920688694976,0.6085430075004411,-0.16146750348675035,0.19406001710063567,0.4102464584044561,-0.16500833333333334,0.18272155501381512
VALLE DE LA LUNA II,0.7879769887055902,-0.022836760662666968,0.21591939211384065,0.6783380840022126,-0.012414492753623187,0.13097332492782682,0.6803719787008071,-0.013312500000000008,0.09768998157436616
