Installation,Type,Source,Indicator,Value,Resolution,set,Set
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.7695418860492326,Hourly,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.9378897400814772,Hourly,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.6931971745592348,Hourly,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.9106928940387456,Hourly,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,0.5699345247514546,Hourly,all,All
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.9686802926280526,Hourly,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,pearson,0.7389578479828995,Hourly,all,All
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.791095426609702,Hourly,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,pearson,0.7910151944083167,Hourly,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.7879769887055902,Hourly,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.07289054521853165,Hourly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,mbe,0.08071645147114978,Hourly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.08081650028869904,Hourly,all,All
CHANARES,Raw,ERA5-Land,mbe,0.0450880281461911,Hourly,all,All
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.0013028404465799707,Hourly,all,All
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.02015809481355673,Hourly,all,All
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.13093487682569507,Hourly,all,All
FV BOLERO,Raw,ERA5-Land,mbe,-0.041425252155926115,Hourly,all,All
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.023732917461375957,Hourly,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.06265375302156395,Hourly,subset_1,S1
LALACKAMA,Raw,ERA5-Land,mbe,-0.007019173165896653,Hourly,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,mbe,-3.538429702829448e-4,Hourly,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.08479968966742515,Hourly,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04531720300080345,Hourly,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,mbe,-0.0377375367029381,Hourly,all,All
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10782177671788408,Hourly,all,All
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.021172075765082805,Hourly,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.012818386677009592,Hourly,all,All
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.1050079039456046,Hourly,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.026894443864706158,Hourly,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.02336336150042102,Hourly,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.03378647794223167,Hourly,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.08090149924621183,Hourly,all,All
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.05332867657177298,Hourly,all,All
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.07319622207685789,Hourly,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.17840904440943553,Hourly,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.07477576734668989,Hourly,all,All
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.3461789336617991,Hourly,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.2121964350271247,Hourly,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,mbe,-0.032235465187183746,Hourly,all,All
QUILAPILUN,Raw,ERA5-Land,mbe,0.02395559829308222,Hourly,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.0593424150522916,Hourly,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,mbe,-0.04570105684818632,Hourly,subset_1,S1
SDGX01,Raw,ERA5-Land,mbe,-0.013861100117954805,Hourly,all,All
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.024595842711730254,Hourly,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.06752760966071318,Hourly,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04344582868664903,Hourly,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.12901600491761714,Hourly,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03688398589685343,Hourly,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.11802548259906667,Hourly,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05596254987778842,Hourly,all,All
